Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1963","1963","1000 No","47817.824","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1963","1963","1000 No","16865.726","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1963","1963","1000 No","30915.676","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1964","1964","1000 No","48319.087","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1964","1964","1000 No","16506.148","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1964","1964","1000 No","31896.689","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1965","1965","1000 No","48772.83","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1965","1965","1000 No","16119.321","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1965","1965","1000 No","32832.934","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1966","1966","1000 No","49184.656","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1966","1966","1000 No","15700.478","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1966","1966","1000 No","33710.909","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1967","1967","1000 No","49574.909","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1967","1967","1000 No","15257.908","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1967","1967","1000 No","34534.027","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1968","1968","1000 No","49947.251","X","Chiffre de source externe",""
